DPM,LINK,CHAN,PLANE,STRIP,END
0,0,0,1,3,0
0,0,1,1,2,0
0,0,2,1,1,0
0,0,3,1,0,0
0,0,4,1,3,1
0,0,5,1,2,1
0,0,6,1,1,1
0,0,7,1,0,1
0,0,9,1,7,0
0,0,10,1,6,0
0,0,11,1,5,0
0,0,12,1,4,0
0,0,13,1,7,1
0,0,14,1,6,1
0,0,15,1,5,1
0,0,16,1,4,1
0,0,18,2,3,0
0,0,19,2,2,0
0,0,20,2,1,0
0,0,21,2,0,0
0,0,22,2,3,1
0,0,23,2,2,1
0,0,24,2,1,1
0,0,25,2,0,1
0,0,27,2,7,0
0,0,28,2,6,0
0,0,29,2,5,0
0,0,30,2,4,0
0,0,31,2,7,1
0,0,32,2,6,1
0,0,33,2,5,1
0,0,34,2,4,1
0,1,0,3,3,0
0,1,1,3,2,0
0,1,2,3,1,0
0,1,3,3,0,0
0,1,4,3,3,1
0,1,5,3,2,1
0,1,6,3,1,1
0,1,7,3,0,1
0,1,9,3,7,0
0,1,10,3,6,0
0,1,11,3,5,0
0,1,12,3,4,0
0,1,13,3,7,1
0,1,14,3,6,1
0,1,15,3,5,1
0,1,16,3,4,1
0,1,18,4,0,0
0,1,19,4,1,0
0,1,20,4,2,0
0,1,21,4,3,0
0,1,22,4,0,1
0,1,23,4,1,1
0,1,24,4,2,1
0,1,25,4,3,1
0,1,27,4,4,0
0,1,28,4,5,0
0,1,29,4,6,0
0,1,30,4,7,0
0,1,31,4,4,1
0,1,32,4,5,1
0,1,33,4,6,1
0,1,34,4,7,1
0,2,0,5,3,0
0,2,1,5,2,0
0,2,2,5,1,0
0,2,3,5,0,0
0,2,4,5,3,1
0,2,5,5,2,1
0,2,6,5,1,1
0,2,7,5,0,1
0,2,9,5,7,0
0,2,10,5,6,0
0,2,11,5,5,0
0,2,12,5,4,0
0,2,13,5,7,1
0,2,14,5,6,1
0,2,15,5,5,1
0,2,16,5,4,1
0,2,18,6,0,0
0,2,19,6,1,0
0,2,20,6,2,0
0,2,21,6,3,0
0,2,22,6,0,1
0,2,23,6,1,1
0,2,24,6,2,1
0,2,25,6,3,1
0,2,27,6,4,0
0,2,28,6,5,0
0,2,29,6,6,0
0,2,30,6,7,0
0,2,31,6,4,1
0,2,32,6,5,1
0,2,33,6,6,1
0,2,34,6,7,1
0,3,0,7,3,0
0,3,1,7,2,0
0,3,2,7,1,0
0,3,3,7,0,0
0,3,4,7,3,1
0,3,5,7,2,1
0,3,6,7,1,1
0,3,7,7,0,1
0,3,9,7,7,0
0,3,10,7,6,0
0,3,11,7,5,0
0,3,12,7,4,0
0,3,13,7,7,1
0,3,14,7,6,1
0,3,15,7,5,1
0,3,16,7,4,1
0,3,18,8,0,0
0,3,19,8,1,0
0,3,20,8,2,0
0,3,21,8,3,0
0,3,22,8,0,1
0,3,23,8,1,1
0,3,24,8,2,1
0,3,25,8,3,1
0,3,27,8,4,0
0,3,28,8,5,0
0,3,29,8,6,0
0,3,30,8,7,0
0,3,31,8,4,1
0,3,32,8,5,1
0,3,33,8,6,1
0,3,34,8,7,1
0,4,0,9,3,0
0,4,1,9,2,0
0,4,2,9,1,0
0,4,3,9,0,0
0,4,4,9,3,1
0,4,5,9,2,1
0,4,6,9,1,1
0,4,7,9,0,1
0,4,9,9,7,0
0,4,10,9,6,0
0,4,11,9,5,0
0,4,12,9,4,0
0,4,13,9,7,1
0,4,14,9,6,1
0,4,15,9,5,1
0,4,16,9,4,1
0,4,18,10,0,0
0,4,19,10,1,0
0,4,20,10,2,0
0,4,21,10,3,0
0,4,22,10,0,1
0,4,23,10,1,1
0,4,24,10,2,1
0,4,25,10,3,1
0,4,27,10,4,0
0,4,28,10,5,0
0,4,29,10,6,0
0,4,30,10,7,0
0,4,31,10,4,1
0,4,32,10,5,1
0,4,33,10,6,1
0,4,34,10,7,1
0,5,0,10,8,0
0,5,1,10,9,0
0,5,2,10,10,0
0,5,3,10,11,0
0,5,4,10,8,1
0,5,5,10,9,1
0,5,6,10,10,1
0,5,7,10,11,1
0,5,9,11,3,0
0,5,10,11,2,0
0,5,11,11,1,0
0,5,12,11,0,0
0,5,13,11,3,1
0,5,14,11,2,1
0,5,15,11,1,1
0,5,16,11,0,1
0,5,18,11,7,0
0,5,19,11,6,0
0,5,20,11,5,0
0,5,21,11,4,0
0,5,22,11,7,1
0,5,23,11,6,1
0,5,24,11,5,1
0,5,25,11,4,1
0,5,27,11,11,0
0,5,28,11,10,0
0,5,29,11,9,0
0,5,30,11,8,0
0,5,31,11,11,1
0,5,32,11,10,1
0,5,33,11,9,1
0,5,34,11,8,1
1,0,0,12,0,0
1,0,1,12,1,0
1,0,2,12,2,0
1,0,3,12,3,0
1,0,4,12,0,1
1,0,5,12,1,1
1,0,6,12,2,1
1,0,7,12,3,1
1,0,9,12,4,0
1,0,10,12,5,0
1,0,11,12,6,0
1,0,12,12,7,0
1,0,13,12,4,1
1,0,14,12,5,1
1,0,15,12,6,1
1,0,16,12,7,1
1,0,18,12,8,0
1,0,19,12,9,0
