DPM,,HGCROC,Channel,CMB,Quadbar,Bar,Plane,AllBar,Elink,End
0,0,0,0,1,1,1,1,1,0,0
0,1,0,1,1,1,2,1,2,0,0
0,2,0,2,1,1,3,1,3,0,0
0,3,0,3,1,1,4,1,4,0,0
0,4,0,4,2,1,1,1,1,0,1
0,5,0,5,2,1,2,1,2,0,1
0,6,0,6,2,1,3,1,3,0,1
0,7,0,7,2,1,4,1,4,0,1
0,8,0,9,3,2,1,1,5,0,0
0,9,0,10,3,2,2,1,6,0,0
0,10,0,11,3,2,3,1,7,0,0
0,11,0,12,3,2,4,1,8,0,0
0,12,0,13,4,2,1,1,5,0,1
0,13,0,14,4,2,2,1,6,0,1
0,14,0,15,4,2,3,1,7,0,1
0,15,0,16,4,2,4,1,8,0,1
0,16,0,18,5,1,4,2,1,0,0
0,17,0,19,5,1,3,2,2,0,0
0,18,0,20,5,1,2,2,3,0,0
0,19,0,21,5,1,1,2,4,0,0
0,20,0,22,6,1,4,2,1,0,1
0,21,0,23,6,1,3,2,2,0,1
0,22,0,24,6,1,2,2,3,0,1
0,23,0,25,6,1,1,2,4,0,1
0,24,0,27,7,2,4,2,5,0,0
0,25,0,28,7,2,3,2,6,0,0
0,26,0,29,7,2,2,2,7,0,0
0,27,0,30,7,2,1,2,8,0,0
0,28,0,31,8,2,4,2,5,0,1
0,29,0,32,8,2,3,2,6,0,1
0,30,0,33,8,2,2,2,7,0,1
0,31,0,34,8,2,1,2,8,0,1
0,32,0,36,9,1,1,3,1,1,0
0,33,0,37,9,1,2,3,2,1,0
0,34,0,38,9,1,3,3,3,1,0
0,35,0,39,9,1,4,3,4,1,0
0,36,0,40,10,1,1,3,1,1,1
0,37,0,41,10,1,2,3,2,1,1
0,38,0,42,10,1,3,3,3,1,1
0,39,0,43,10,1,4,3,4,1,1
0,40,0,45,11,2,1,3,5,1,0
0,41,0,46,11,2,2,3,6,1,0
0,42,0,47,11,2,3,3,7,1,0
0,43,0,48,11,2,4,3,8,1,0
0,44,0,49,12,2,1,3,5,1,1
0,45,0,50,12,2,2,3,6,1,1
0,46,0,51,12,2,3,3,7,1,1
0,47,0,52,12,2,4,3,8,1,1
0,48,0,54,13,1,1,4,1,1,0
0,49,0,55,13,1,2,4,2,1,0
0,50,0,56,13,1,3,4,3,1,0
0,51,0,57,13,1,4,4,4,1,0
0,52,0,58,14,1,1,4,1,1,1
0,53,0,59,14,1,2,4,2,1,1
0,54,0,60,14,1,3,4,3,1,1
0,55,0,61,14,1,4,4,4,1,1
0,56,0,63,15,2,1,4,5,1,0
0,57,0,64,15,2,2,4,6,1,0
0,58,0,65,15,2,3,4,7,1,0
0,59,0,66,15,2,4,4,8,1,0
0,60,0,67,16,2,1,4,5,1,1
0,61,0,68,16,2,2,4,6,1,1
0,62,0,69,16,2,3,4,7,1,1
0,63,0,70,16,2,4,4,8,1,1
0,64,1,0,1,1,1,5,1,2,0
0,65,1,1,1,1,2,5,2,2,0
0,66,1,2,1,1,3,5,3,2,0
0,67,1,3,1,1,4,5,4,2,0
0,68,1,4,2,1,1,5,1,2,1
0,69,1,5,2,1,2,5,2,2,1
0,70,1,6,2,1,3,5,3,2,1
0,71,1,7,2,1,4,5,4,2,1
0,72,1,9,3,2,1,5,5,2,0
0,73,1,10,3,2,2,5,6,2,0
0,74,1,11,3,2,3,5,7,2,0
0,75,1,12,3,2,4,5,8,2,0
0,76,1,13,4,2,1,5,5,2,1
0,77,1,14,4,2,2,5,6,2,1
0,78,1,15,4,2,3,5,7,2,1
0,79,1,16,4,2,4,5,8,2,1
0,80,1,18,5,1,1,6,1,2,0
0,81,1,19,5,1,2,6,2,2,0
0,82,1,20,5,1,3,6,3,2,0
0,83,1,21,5,1,4,6,4,2,0
0,84,1,22,6,1,1,6,1,2,1
0,85,1,23,6,1,2,6,2,2,1
0,86,1,24,6,1,3,6,3,2,1
0,87,1,25,6,1,4,6,4,2,1
0,88,1,27,7,2,1,6,5,2,0
0,89,1,28,7,2,2,6,6,2,0
0,90,1,29,7,2,3,6,7,2,0
0,91,1,30,7,2,4,6,8,2,0
0,92,1,31,8,2,1,6,5,2,1
0,93,1,32,8,2,2,6,6,2,1
0,94,1,33,8,2,3,6,7,2,1
0,95,1,34,8,2,4,6,8,2,1
0,96,1,36,9,1,1,7,1,3,0
0,97,1,37,9,1,2,7,2,3,0
0,98,1,38,9,1,3,7,3,3,0
0,99,1,39,9,1,4,7,4,3,0
0,100,1,40,10,1,1,7,1,3,1
0,101,1,41,10,1,2,7,2,3,1
0,102,1,42,10,1,3,7,3,3,1
0,103,1,43,10,1,4,7,4,3,1
0,104,1,45,11,2,1,7,5,3,0
0,105,1,46,11,2,2,7,6,3,0
0,106,1,47,11,2,3,7,7,3,0
