,bins,filtered_data,MC,unfiltered_data
0,98.5,0.0,0.0,0.0
1,98.5375,0.0,0.0,0.0
2,98.575,0.0,0.0,0.0
3,98.6125,0.0,0.0,0.0
4,98.65,0.0,0.0,0.0
5,98.6875,0.0,0.0,0.0
6,98.725,0.0,0.0,0.0
7,98.7625,0.0,0.0,0.0
8,98.8,0.0,0.0,0.0
9,98.8375,0.0,0.0,0.0
10,98.875,0.0,0.0,0.0
11,98.9125,0.0,0.0,0.0
12,98.95,0.0,0.0,0.0
13,98.9875,1.0,0.0,0.0
14,99.025,0.0,0.0,1.0
15,99.0625,1.0,0.0,0.0
16,99.1,0.0,0.0,1.0
17,99.1375,0.0,0.0,0.0
18,99.175,1.0,0.0,0.0
19,99.2125,0.0,0.0,1.0
20,99.25,0.0,0.0,0.0
21,99.2875,0.0,0.0,0.0
22,99.325,0.0,0.0,0.0
23,99.3625,0.0,0.0,0.0
24,99.4,0.0,0.0,0.0
25,99.4375,1.0,0.0,1.0
26,99.475,0.0,0.0,0.0
27,99.5125,1.0,0.0,1.0
28,99.55,1.0,0.0,1.0
29,99.5875,0.0,0.0,0.0
30,99.625,0.0,0.0,0.0
31,99.6625,0.0,0.0,0.0
32,99.7,0.0,0.0,0.0
33,99.7375,0.0,0.0,2.0
34,99.775,2.0,1.0,1.0
35,99.8125,1.0,0.0,0.0
36,99.85,0.0,0.0,0.0
37,99.8875,1.0,1.0,1.0
38,99.925,12.0,4.0,12.0
39,99.9625,14.0,30.0,14.0
